id,# of genres,# of production companies,production countries,number of production countries,Oversea Status,release year,release quarter,# of keywords,# of cast,gender distribution for cast,actor name,# of crew,gender distribution for crew,budget,homepage,imdbid,popularity,runtime,tagline
3399,2,6,"['DE', 'GB', 'FR']",3,0,09,2,6,30,"[(3, 9, 18)]","TomSturridge,PhilipSeymourHoffman,RhysIfans,BillNighy,EmmaThompson,NickFrost,KennethBranagh,JanuaryJones,GemmaArterton,JackDavenport,RhysDarby,KatherineParkinson,KatieLyons,TomWisdom,WillAdamsdale,TomBrooke,RalphBrown,IkeHamilton,SineadMatthews,TalulahRiley,MichaelHadley,CharlieRowe,LucyFleming,IanMercer,FrancescaLongrigg,PoppyDelevingne,DavidSterne,OliviaLlewellyn,WilliamIlkley",14,"[(1, 6, 7)]",50000000,http://www.theboatthatrocked.net/,tt1131729,8.395618,116,On air. Off shore. Out of control.
3400,1,3,['US'],1,0,97,3,5,24,"[(6, 4, 14)]","AndrewDivoff,TammyLauren,RobertEnglund,ChrisLemmon,WendyBensonLandes,TonyCrane,KaneHodder,TonyTodd,RiccoRoss,JohnByner,GeorgeBuckFlower,GretchenPalmer,TedRaimi,AngusScrimm,ReggieBannister,JosephPilato,BrianKlugman,AriBarak,JakeMcKinnon,GregFunk,RichardAssad,DanHicks,CyndiPass",19,"[(6, 4, 9)]",5000000,,tt0120524,5.215107,90,Be careful what you wish for.
3401,2,0,['RU'],1,0,09,4,0,13,"[(9, 0, 4)]","SergeyChirkov,PavelPriluchnyy,AgniyaDitkovskite,ViktorVerzhbitskiy,IgorSklyar,MikhailGorevoy,MarinaPetrenko,EvgeniyKharlanov,TikhonZhiznevskiy,NodarSiradze,AlekseyBardukov,BorisTenin,MikhailTrukhin",8,"[(7, 0, 1)]",3500000,,tt1532382,1.900502,97,
3402,1,3,['US'],1,1,97,3,7,5,"[(0, 4, 1)]","EvanRachelWood,KevinBacon,MaryStuartMasterson,MarianSeldes,CathyMoriarty",4,"[(1, 1, 2)]",0,,tt0118980,1.486062,98,Two innocent outcasts. One incredible friendship.
3403,2,3,['US'],1,1,94,3,18,54,"[(13, 16, 25)]","JohnTravolta,SamuelL,UmaThurman,BruceWillis,VingRhames,HarveyKeitel,EricStoltz,TimRoth,AmandaPlummer,MariadeMedeiros,QuentinTarantino,ChristopherWalken,RosannaArquette,PeterGreene,DuaneWhitaker,AngelaJones,PhilLaMarr,SteveBuscemi,BronaghGallagher,LauraLovelace,FrankWhaley,BurrSteers,PaulCalderon,JeromePatrickHoban,MichaelGilden,GaryShorelle,SusanGriffiths,EricClark,JosephPilato,BradBlumenthal,LoreleiLeslie,EmilSitka,BrendaHillhouse,ChandlerLindauer,SySher,RobertRuth,RichTurner,DonBlakely,CarlAllen,KarenMaruyama,KathyGriffin,VenessiaValentino,LindaKaye,StephenHibbert,AlexisArquette,JuliaSweeney,LawrenceBender,CieAllman,ReneBeard,LoriPizzo,GlendonRich,DevanRichardson,AniSava,PhilipEttington",87,"[(54, 11, 22)]",8000000,,tt0110912,140.950236,154,Just because you are a character doesn't mean you have character.
3404,3,1,['US'],1,0,97,1,4,15,"[(4, 5, 6)]","MatthewPerry,SalmaHayek,JonTenney,SiobhanFallon,AngelinaTorres,JohnBennettPerry,JillClayburgh,SuzanneSnyder,AnneBetancourt,MarkAdairRios,StanleyDeSantis,JoshCruze,AngelaLanza,ChrisBauer,CarlosG",12,"[(2, 3, 7)]",0,,tt0119141,6.285574,109,What if finding the love of your life meant changing the life that you loved?
3405,3,3,['US'],1,0,09,3,5,27,"[(7, 11, 9)]","MichaelDouglas,DannyDeVito,JesseEisenberg,SusanSarandon,MaryLouiseParker,JennaFischer,AnastasiaGriffith,ImogenPoots,RichardSchiff,BenShenkman,AnnaKuchma,ArthurJ,DavidCostabile,AlexKaluzhsky,StephanieDanielson,AdamPally,JamesColby,LilaUrda,JakeSiciliano,JamesThomasBligh,KatherineOwens,JolynnCarpenter,RickyGarcia,BiancaGiancoli,SimonaWilliams,GillianJacobs,OliviaThirlby",7,"[(0, 1, 6)]",15000000,http://www.solitarymanmovie.com/,tt1294213,5.829644,90,Ben loves his family almost as much as he loves himself
3406,2,1,"['US', 'AU']",2,1,10,3,5,19,"[(1, 4, 14)]","JamesMarsden,NickNolte,ChristinaApplegate,BetteMidler,PascaleHutton,KattWilliams,NeilPatrickHarris,SeanHayes,WallaceShawn,RogerMoore,JoePantoliano,MichaelClarkeDuncan,JackMcBrayer,FredArmisen,KiernanShipka,PaulRodr,J,GreyGriffin",10,"[(6, 0, 4)]",85000000,http://catsanddogsmovie.warnerbros.com/,tt1287468,7.941637,82,Just like real spies... only furrier.
3407,4,3,['US'],1,0,13,3,7,35,"[(4, 9, 22)]","JeffBridges,RyanReynolds,KevinBacon,StephanieSzostak,MaryLouiseParker,MarisaMiller,RobertKnepper,JamesHong,DevinRatray,KachinaDechert,CatherineKresge,LarryJoeCampbell,KortneyAdams,MichaelCoons,ChristinaEverett,MichaelTow,LonnieFarmer,PiperMackenzieHarris,BenSloane,DuncanB,BillMootos,MichaelYebba,DavidJ,CherylMcMahon,GeorgiaLyman,MattMcColm,JohnBurke,JoeStapleton,MichaelStevenCostello,ChrisWhitney,EmmalynAnderson,AlexandraCreteau,J,JimFord",33,"[(11, 3, 19)]",130000000,http://www.ripd.com/,tt0790736,9.369679,96,To protect and serve the living
3408,2,1,['US'],1,0,04,1,9,10,"[(1, 1, 8)]","KurtRussell,PatriciaClarkson,NoahEmmerich,SeanMcCann,KennethWelsh,EddieCahill,MichaelMantenuto,FredKeating,PhilipMauriceHayes",2,"[(1, 0, 1)]",28000000,,tt0349825,8.248999,135,"If you believe in yourself, anything can happen."
3409,1,0,['US'],1,0,93,3,0,6,"[(0, 1, 5)]","DannyGlover,MalcolmMcDowell,AlfreWoodard,MariusWeyers,MaynardEziashi,MalickBowens",4,"[(1, 0, 3)]",12000000,http://www.imdb.com/title/tt0106464/,tt0106464,0.074126,120,
3410,2,2,['US'],1,0,13,1,7,20,"[(7, 5, 8)]","AlexandraDaddario,DanYeager,BillMoseley,MarilynBurns,TaniaRaymonde,TreySongz,ScottEastwood,RichardRiehle,ShaunSipos,ThomBarry,KeramMalickiS,SueRock,PaulRae,GunnarHansen,JohnDugan,DodieBrown,KariJ,SamMcKinzie,JamesMacDonald,ElenaSanchez",27,"[(7, 2, 18)]",20000000,,tt1572315,7.214828,92,Evil wears many faces.
3411,2,3,['US'],1,1,06,2,6,11,"[(7, 1, 3)]","JackBlack,AnadelaReguera,H,DariusRose,Mois,CarlosMaycotte,RichardMontoya,C,RafaelMontalvo,JulioSandoval,PeterStormare",13,"[(1, 0, 12)]",32000000,http://www.nacholibre.com/,tt0457510,12.042646,92,He's not lean. He's not mean. He's nacho average hero.
3412,3,6,['US'],1,0,09,1,2,35,"[(15, 4, 16)]","MichaelDouglas,JesseMetcalfe,AmberTamblyn,JoelDavidMoore,OrlandoJones,LawrenceP,SewellWhitney,DavidJensen,SharonK,KrystalKofie,RandalReeder,RyanGlorioso,JonMcCarthy,GrantJames,EricGipson,DarcelWhiteMoreno,MeganBrown,MicheleWilliams,WallaceMerck,RobertLarriviere,JuliErickson,CarrieSlaughter,TonyBentley,AndreiConstantinescu,JohnMcConnell,MeadePatton,SigalDiamant,IllanaDiamont,GerryMay,CarlSavering,KelvinPayton,FredEllis,EdrickBrowne,RonFlagge,DavidBorn",15,"[(7, 1, 7)]",25000000,,tt1183251,5.1991,105,
3413,3,1,['US'],1,0,87,2,6,11,"[(1, 4, 6)]","WarrenBeatty,DustinHoffman,IsabelleAdjani,CharlesGrodin,JackWeston,TessHarper,CarolKane,AharonIpal,CristineRose,MattFrewer,AlexHydeWhite",9,"[(2, 2, 5)]",55000000,,tt0093278,3.986985,107,
3414,2,2,['ES'],1,0,78,3,13,12,"[(8, 1, 3)]","SandraAlberti,MarianaKarr,Jos,ManuelPereiro,LuisBarboo,Jos,IsidroLuengo,Ascensi,FernandoJim,JuanPiquerSim",7,"[(7, 0, 0)]",0,,tt0075999,1.398033,82,
3415,1,6,"['DE', 'FR', 'GB', 'US']",4,0,84,2,12,13,"[(5, 3, 5)]","HarryDeanStanton,NastassjaKinski,DeanStockwell,HunterCarson,AuroreCl,BernhardWicki,JohnLurie,JeniVici,SallyNorvell,SocorroValdez,ClaresieMobley,Viva,TomFarrell",33,"[(16, 5, 12)]",1746964,,tt0087884,11.635837,147,A place for dreams. A place for heartbreak. A place to pick up the pieces.
3416,3,3,['US'],1,0,60,2,13,30,"[(10, 6, 14)]","AnthonyPerkins,VeraMiles,JohnGavin,JanetLeigh,MartinBalsam,JohnMcIntire,SimonOakland,FrankAlbertson,PatriciaHitchcock,VaughnTaylor,LureneTuttle,MortMills,JohnAnderson,AlfredHitchcock,WalterBacon,FrancisDeSales,GeorgeDockstader,HarperFlaherty,FredScheiwiller,GeorgeEldredge,SamFlint,VirginiaGregg,JeanetteNolan,FrankKillmond,TedKnight,PatMcCaffrie,HansMoebus,HelenWallace,RobertOsborne",22,"[(9, 1, 12)]",806948,,tt0054215,36.826309,109,The master of suspense moves his cameras into the icy blackness of the unexplored!
3417,3,3,"['US', 'DE']",2,0,03,4,7,24,"[(4, 3, 17)]","WillFerrell,JamesCaan,ZooeyDeschanel,MarySteenburgen,DanielTay,EdAsner,BobNewhart,KyleGass,FaizonLove,PeterDinklage,AmySedaris,MichaelLerner,AndyRichter,ArtieLange,PeterBillingsley,RayHarryhausen,JonFavreau,MarkAcheson,LeonRedbone,ClaireLautier,TedFriend,MattWalsh,PeterBillingsley,PatrickFerrell",53,"[(34, 5, 14)]",32000000,,tt0319343,8.754132,97,"This holiday, discover your inner elf."
3418,2,2,['US'],1,0,79,2,15,45,"[(18, 2, 25)]","ClintEastwood,PatrickMcGoohan,RobertsBlossom,JackThibeau,FredWard,PaulBenjamin,LarryHankin,BruceM,FrankRonzio,FredStuthman,DavidCryer,HankBrandt,RayK,BlairBurrows,MadisonArnold,GarryGoodrow,RonVernan,EdVasgersian,MatthewLocricchio,BobBalhatchet,StephenBradley,ReginaBaff,JoeMiksak,CandaceBowen,DonMichaelian,DanLeegant,JohnScanlon,JasonRonard,RossReynolds,AlDunlap,DenisBerkfeldt,JimHaynie,TonyDario,FritzManes,DonCummins,RobertHirschfeld,LloydNelson,GeorgeOrrison,GaryWarren,JosephWhipp,TerryWills,SheldonFeldner,DannyGlover,CarlLumbly,EugeneJackson",38,"[(25, 1, 12)]",8000000,,tt0079116,11.837667,111,No one has ever escaped from Alcatraz...and no one ever will!
3419,3,5,['US'],1,0,10,2,14,35,"[(7, 10, 18)]","SamWorthington,LiamNeeson,RalphFiennes,GemmaArterton,JasonFlemyng,AlexaDavalos,TineStapelfeldt,MadsMikkelsen,LukeEvans,IzabellaMiko,LiamCunningham,HansMatheson,AshrafBarhom,MouloudAchour,IanWhyte,VincentRegan,PollyWalker,LukeTreadaway,PetePostlethwaite,ElizabethMcGovern,RoryMcCann,KayaScodelario,AlexanderSiddig,DannyHuston,PhilMcKee,LauraKachergus,DavidKennedy,NinaYoung,JaneMarch,NathalieCox,AgynessDeyn,NataliaVodianova,CharlotteComer,NicholasHoult,KatherineLoeppky",123,"[(99, 6, 18)]",125000000,http://www.clash-of-the-titans.com/,tt0800320,11.972347,106,Titans will clash.
3420,2,0,['NA'],0,0,03,1,3,10,"[(3, 2, 5)]","AnneReid,DanielCraig,PeterVaughan,StevenMackintosh,CathrynBradshaw,AnnaWilsonJones,DaniraGovich,IzabellaTelezynska,OliverFordDavies,JonahCoombes",1,"[(0, 0, 1)]",2500000,http://www.sonyclassics.com/themother/,tt0323298,3.551063,112,It can take a lifetime to feel alive.
3421,2,3,['US'],1,0,12,3,5,24,"[(9, 9, 6)]","JenniferLawrence,MaxThieriot,ElisabethShue,GilBellows,NolanGerardFunk,EvaLink,AllieMacDonald,JordanHayes,KristaBridges,JamesThomas,HaileeSisera,CraigEldridge,JonathanHiggins,OlivierSurprenant,LoriAlter,JoyTanner,BobbyOsborne,GraceTuckerDuguay,WillSeatleBowes,JonMcLaren,JohnHealy,JasmineChan,JonathanMalen,ClaudiaJurt",29,"[(14, 2, 13)]",6900000,,tt1582507,8.513457,101,Fear reaches out... for the girl next door.
3422,2,13,"['FR', 'RO', 'BE']",3,0,12,3,7,40,"[(31, 5, 4)]","CosminaStratan,CristinaFlutur,ValeriuAndriuta,DanaTapalaga,CatalinaHarabagiu,GinaTandura,VicaAgache,NoraCovali,Lumini,DionisieVitcu,IonutGhinea,LilianaMocanu,DoruAna,CostacheBabii,AlinaBerzunteanu,TeodorCorban,CalinChirila,CristinaCristian,TaniaPopa,PetronelaGrigorescu,RaduZetu,IonSapdaru,DianaChirilaIgnat,LianaPetrescu,AlexandraAgavriloaiei,AlexandraApetrei,NoemiGunea,KatiaPascariu,MaraCarutasu,CristinaMihailescu,CeraselaIosifescu,AdaBarleanu,MarianaLiurca,GheorgheIfrim,MirceaFlorinJr,MarianAdochitei,EcaterinaTugulea,NicoletaLefter,AndreeaBosneag,AdrianAcuta",19,"[(13, 0, 6)]",0,http://www.dupadealuri.ro,tt2258281,4.750814,150,
3423,4,2,['US'],1,0,07,2,19,23,"[(6, 2, 15)]","PattonOswalt,IanHolm,LouRomano,BrianDennehy,PeterSohn,BradGarrett,JaneaneGarofalo,WillArnett,JuliusCallahan,JamesRemar,JohnRatzenberger,TeddyNewton,TonyFucile,JakeSteinfeld,BradBird,St,AndreaBoerries,MarcoBoerries,LindseyCollins,ThomasKeller,BradLewis,LoriRichardson",56,"[(37, 1, 18)]",150000000,http://disney.go.com/disneypictures/ratatouille/,tt0382932,20.50803,111,He's dying to become a chef.
3424,1,0,['NA'],0,0,17,1,0,8,"[(3, 1, 4)]","DacreMontgomery,XavierSamuel,KrisMarshall,RyanCorr,KevinBishop,ChloeHurst,DeborahMailman,ShaneJacobson",2,"[(0, 0, 2)]",0,,tt3784652,1.475321,96,A lot more laughs!
3425,3,2,['US'],1,0,05,2,4,16,"[(10, 2, 4)]","JennaDewan,MarcDevigne,ChadFaust,KatieStuart,BryanClark,MelissaMarieElias,MatthewMarsden,ClaudetteMink,GilHacohen,MagallyZelaya,BrianDavisson,ChrisSigurdson,SarahBlondin,ErnestoGriffith,JeffreyReddick,BrandyJaques",23,"[(9, 1, 13)]",4750000,http://www.tamaramovie.com/,tt0401815,3.743679,98,Revenge has a killer body.
3426,2,3,['US'],1,1,73,4,3,17,"[(3, 6, 8)]","BarbraStreisand,RobertRedford,BradfordDillman,LoisChiles,VivecaLindfors,AllynAnnMcLerie,MurrayHamilton,HerbEdelman,DianaEwing,SallyKirkland,MarciaMaeJones,DonKeefer,GeorgeGaynes,EricBoles,JamesWoods,BrendanKelly",6,"[(1, 0, 5)]",0,,tt0070903,13.377996,118,Everything seemed so important then .. even love!
3427,3,5,['US'],1,0,05,1,4,10,"[(1, 5, 4)]","RobertDeNiro,DakotaFanning,FamkeJanssen,ElisabethShue,AmyIrving,DylanBaker,MelissaLeo,RobertJohnBurke,MollyGrantKallins,BrendanSextonIII",34,"[(19, 4, 11)]",25000000,,tt0382077,6.102059,101,"Come out, come out, whatever you are."
3428,3,1,['US'],1,0,61,3,18,9,"[(4, 3, 2)]","VincentPrice,JohnKerr,BarbaraSteele,LuanaAnders,AntonyCarbone,PatrickWestwood,LynetteBernay,MaryMenzies,CharlesVictor",19,"[(12, 0, 7)]",200000,,tt0055304,4.392322,80,Betrayal cuts both ways!
3429,4,2,['US'],1,0,84,1,5,13,"[(2, 5, 6)]","KevinBacon,JohnLithgow,DianneWiest,ChrisPenn,LoriSinger,SarahJessicaParker,TimothyScott,FrancesLeeMcCain,JohnLaughlin,ElizabethGorcey,JimYoungs,LynneMarta,SamDalton",14,"[(2, 5, 7)]",8200000,,tt0087277,10.403992,107,
3430,3,2,['US'],1,0,17,1,12,34,"[(16, 3, 15)]","TomHiddleston,SamuelL,BrieLarson,JohnGoodman,JohnC,JingTian,TobyKebbell,JohnOrtiz,CoreyHawkins,JasonMitchell,SheaWhigham,ThomasMann,TerryNotary,EugeneCordero,WillBrittain,RichardJenkins,MarcEvanJackson,ThomasMiddleditch,Miyavi,AllynRachel,RobertTaylor,JamesM,BradyNovak,PeterKarinen,BrianSacca,JoshuaFunk,GarrethHadfield,JonQuested,KoreyWilliams,DatPhan,CynthyWu,BethKennedy,BryanChojnowski,TerryNotary",126,"[(101, 6, 19)]",185000000,http://kongskullislandmovie.com/,tt3731562,29.429112,118,All hail the king
3431,2,1,['US'],1,0,86,4,4,26,"[(7, 7, 12)]","MarcPrice,TonyFields,LisaOrgolini,DougSavant,ElaineJoyce,GlenMorgan,GeneSimmons,OzzyOsbourne,EliseRichards,RichardPachorek,ClareNono,AliceNunn,LarrySprinkle,CharlesMartinSmith,ClaudiaTempleton,DenneyPierce,RayShaffer,BradThomas,TerryLoughlin,GrahamSmith,KevinYagher,AmyBertolette,LeroySweet,BarryBell,SteveBoles,JamesD",24,"[(9, 5, 10)]",0,,tt0092112,2.612214,98,What are you afraid of? It's only rock and roll...
3432,1,2,"['DE', 'FR', 'GB']",3,1,07,1,2,12,"[(4, 3, 5)]","NeilDudgeon,AsaButterfield,BillMilner,JessicaHynes,AnnaWing,WillPoulter,TallulahEvans,EmilieChesnais,PaulRitter,JulesSitruk,AdamBuxton,EdWestwick",3,"[(1, 0, 2)]",4000000,http://www.sonoframbow.com/,tt0845046,7.391932,96,Make Believe. Not War.
3433,2,2,['KR'],1,1,14,3,7,15,"[(3, 2, 10)]","ChoiMinsik,KimMyunggon,RyuSeungryong,JinGoo,KuJin,NoMinwoo,RyoheiOtani,LeeSeungjoon,GoKyungpyo,LeeJunghyun,ParkBogeom,KwonYul,KimTaehoon,ChoJinwoong,LeeJoosil",7,"[(3, 0, 4)]",9500000,http://www.cj-entertainment.com/movie/detail/140624-001,tt3541262,5.062756,126,12 ships against a fleet of 330.
3434,1,3,['US'],1,0,93,1,5,11,"[(3, 1, 7)]","TerenceKnox,PaulScherrer,RyanBollman,ChristieClark,RosalindAllen,NedRomero,EdGrady,MatthewHunter,RobertHarvey,BillWagner,WallaceMerck",40,"[(25, 3, 12)]",900000,,tt0106557,8.357875,92,These children are home alone too. But their parents are never coming back.
3435,3,3,['US'],1,0,16,2,5,42,"[(7, 10, 25)]","ChrisHemsworth,CharlizeTheron,EmilyBlunt,JessicaChastain,NickFrost,SheridanSmith,RobBrydon,AlexandraRoach,SamClaflin,ColinMorgan,SophieCookson,SamHazeldine,LynneWilmot,AlejandroCuello,LiamNeeson,SopeDirisu,ConradKhan,NiamhWalter,NanaAgyemanBediako,AmeliaCrouch,FredTatasciore,RalphIneson,RobertPortal,RobertWilfort,DavidMumeni,KaraLilyHayworth,MadeleineWorrall,ChinnaWodu,AndrewRothney,TimDelap,AntonyAcheampong,IanDavies,GeorgeWatkins,AjBediako,SamCoulson,RyanDonaldson,OsiOkerafor,MayaWasowicz,YusufHofri,EshanGopal,JadeyDuffield,KarlFarrer",7,"[(2, 0, 5)]",115000000,http://www.thehuntsmanmovie.com/,tt2381991,17.260203,114,The story before Snow White
3436,2,5,"['FI', 'US']",2,0,16,2,8,32,"[(4, 10, 18)]","JasonSudeikis,JoshGad,DannyMcBride,MayaRudolph,BillHader,PeterDinklage,SeanPenn,KeeganMichaelKey,KateMcKinnon,TonyHale,HannibalBuress,IkeBarinholtz,TitussBurgess,IanHecox,AnthonyPadilla,JillianBell,BillyEichner,BlakeShelton,CharliXCX,AliWong,MckennaGrace,AvaAcres,GeoffreyArend,AlexBorstein,MaxCharles,FergalReilly,KevinBigley,FredTatasciore,JudahFriedlander,DanielleBrooks,RomeoSantos,CristelaAlonzo",6,"[(4, 0, 2)]",73000000,http://www.angrybirds-movie.com/en/,tt1985949,11.171927,97,Why so angry?
3437,3,2,"['CA', 'IT']",2,0,77,3,3,11,"[(8, 1, 2)]","SophiaLoren,MarcelloMastroianni,JohnVernon,Fran,PatriziaBasso,TizianoDePersio,MaurizioDiPaolantonio,AntonioGaribaldi,VittorioGuerrieri,AlessandraMussolini,NicoleMagny",7,"[(2, 0, 5)]",0,,tt0076085,3.810981,110,A special film about two special people.
3438,1,2,"['CA', 'US']",2,0,83,2,8,20,"[(8, 2, 10)]","DanMonahan,WyattKnight,MarkHerrier,RogerWilson,TonyGanios,KakiHunter,ScottColomby,NancyParsons,JosephRunningfox,EricChristmas,BillWiley,EdwardWinter,CisseCameron,IlseEarl,ArtHindle,AnthonyPena,RodBall,RichardLiberty,WilliamKerwin",4,"[(1, 0, 3)]",6500000,,tt0086129,5.269838,98,"If you thought the night before was funny, wait till you see the next day."
3439,4,7,['FR'],1,1,01,1,9,21,"[(6, 3, 12)]","SamuelLeBihan,VincentCassel,MonicaBellucci,J,MarkDacascos,JeanYanne,JeanFran,JohanLeysen,JacquesPerrin,BernardFarcy,EdithScob,HansMeyer,VirginieDarmon,PhilippeNahon,NickyNaude,Ga,CharlesMaquignon,GaspardUlliel,PascalLaugier,EmanuelBooz",45,"[(37, 1, 7)]",29000000,http://www.brotherhoodofthewolf.com/,tt0237534,11.564252,137,
3440,2,2,['US'],1,0,11,2,4,10,"[(3, 0, 7)]","JimCummings,TravisOates,BudLuckey,CraigFerguson,TomKenny,KirstenAndersonLopez,WyattHall,JackBouleter,HuellHowser,JohnCleese",89,"[(72, 2, 15)]",30000000,http://disney.go.com/pooh/home/,tt1449283,7.357682,63,Oh Pooh.
3441,3,11,"['FR', 'PT', 'ES']",3,1,99,3,11,23,"[(12, 3, 8)]","JohnnyDepp,FrankLangella,LenaOlin,EmmanuelleSeigner,BarbaraJefford,JackTaylor,Jos,JamesRusso,WillyHolt,AllenGarfield,TonyAmoni,JacquesDacqmine,JoeSheridan,RebeccaPauly,CatherineBenguigui,MariaDucceschi,JacquesCollard,DominiquePozzetto,EmanuelBooz,LinoRibeirodeSousa,AsilRa,BernardRichier,MarinetteRichier",23,"[(6, 1, 16)]",38000000,,tt0142688,11.316349,133,Every book has a life of its own.
3442,3,1,['US'],1,0,97,1,17,14,"[(4, 5, 5)]","JoshuaSchaefer,KeriRussell,R,MarkL,JohnnyGreen,BuckKartalian,MarciaMoran,BiffManard,DarleenCarr,ErnestineMercer,VanEpperson,CatherineHicks",12,"[(6, 0, 6)]",0,,tt0119054,4.515523,92,He Came. He Sat. He Conquered.
3443,4,1,['US'],1,0,07,2,13,10,"[(0, 3, 7)]","AlanRickman,BryanGreenberg,MarySteenburgen,ShawnHatosy,DannyDeVito,ElizaDushku,BillPullman,TedDanson,ErnieHudson,LindyBooth",3,"[(0, 1, 2)]",4000000,,tt0483756,2.420823,110,Keep your eyes on the prize.
3444,1,3,"['US', 'ZA']",2,1,97,1,1,8,"[(1, 1, 6)]","IceCube,ElizabethHurley,VingRhames,ThokozaniNkosi,RonSmerczak,WilsonDunster,SechabaMorojele,PeterKhubeke",3,"[(2, 0, 1)]",0,,tt0118927,1.463219,95,What he wants is revenge. What he gets is the fight of his life.
3445,4,2,['US'],1,0,94,4,6,11,"[(2, 3, 6)]","TimAllen,JudgeReinhold,WendyCrewson,DavidKrumholtz,PeterBoyle,EricLloyd,PaigeTamada,LarryBrandenburg,JayneEastwood,KennyVadas,ChrisBenson",8,"[(0, 0, 8)]",22000000,,tt0111070,9.665424,97,What if your dad was Santa Claus?
3446,2,1,['RU'],1,1,13,3,0,7,"[(7, 0, 0)]",MikhailEfremov,0,"[(0, 0, 0)]",0,,tt3039378,0.918522,95,You've Got the Fever... We've Got the Cure!
3447,3,10,"['DE', 'GB', 'US']",3,0,05,1,5,15,"[(1, 9, 5)]","PiperPerabo,LenaHeadey,MatthewGoode,CeliaImrie,DarrenBoyd,SharonHorgan,SueJohnston,BooJackson,VinetteRobinson,EvaBirthistle,AnthonyStewartHead,AngelCoulby,BenMiles,RickWarden,RuthSheen",20,"[(10, 6, 4)]",0,http://www.foxsearchlight.com/imaginemeandyou/,tt0421994,6.008971,93,There goes the bride.
3448,3,1,['US'],1,1,08,3,3,38,"[(9, 14, 15)]","HaydenChristensen,AndyGarc,RachelBilson,NataliePortman,IrrfanKhan,OrlandoBloom,ChristinaRicci,MaggieQ,EthanHawke,ChrisCooper,RobinWright,AntonYelchin,JamesCaan,OliviaThirlby,BlakeLively,DreadeMatteo,BradleyCooper,JulieChristie,JohnHurt,ShiaLaBeouf,TaylorGeare,CarlosAcosta,JacindaBarrett,UgurY,ShuQi,BurtYoung,EliWallach,ClorisLeachman,EmilieOhana,EvaAmurriMartino,JustinBartha,JuriHenleyCohn,GurdeepSingh,EmoryCohen,HayleyCrisp,JordannBeal,MaxRobkoff,NickSartori",22,"[(7, 3, 12)]",14700000,,tt0808399,13.825651,103,Every moment... Love Begins.
3449,2,1,['US'],1,0,53,2,9,33,"[(11, 8, 14)]","AlanLadd,JeanArthur,VanHeflin,BrandonDeWilde,JackPalance,BenJohnson,EdgarBuchanan,EmileMeyer,ElishaCookJr,DouglasSpencer,JohnDierkes,EllenCorby,PaulMcVey,JohnMiller,EdithEvanson,LeonardStrong,RaySpiker,JaniceCarroll,MartinMason,HelenBrown,NancyKulp,EwingMilesBrown,BillCartledge,ChickHannan,GeorgeJ,JackSterling,HenryWills,AlanaLadd,DavidLadd,HowardNegley,CharlesQuirk,GeorgeStevens,BeverlyWashburn",28,"[(13, 1, 14)]",3100000,,tt0046303,6.63816,118,The Greatest Story Of The West Ever Filmed!
3450,1,2,['US'],1,0,89,4,8,24,"[(4, 9, 11)]","ChevyChase,RandyQuaid,JulietteLewis,JohnnyGalecki,JohnRandolph,DianeLadd,E,DorisRoberts,CodyBurger,EllenHamiltonLatzen,WilliamHickey,MaeQuestel,MiriamFlynn,SamMcMurray,NicholasGuest,JuliaLouisDreyfus,BrianDoyleMurray,NatalijaNogulich,NicoletteScorsese,DevinBailey,JeremyRoberts,AlexanderFolk,KeithMacKechnie",8,"[(0, 0, 8)]",27000000,,tt0097958,9.802574,97,Yule crack up.
3451,3,3,['GB'],1,1,84,4,11,29,"[(18, 1, 10)]","SamWaterston,HaingS,CraigT,JohnMalkovich,AtholFugard,JulianSands,SpaldingGray,BillPaterson,GrahamKennedy,KatherineKrapumChey,OliverPierpaoli,EdwardEnteroChey,TomBird,MonirakSisowath,LamboolDtangpaibool,IraWheeler,DavidHenry,PatrickMalahide,NellCampbell,JoanHarris,JoannaMerlin,JayBarney,MarkLong,SayoInaba,MowLeng,ChinsaureSa,HoutMingTran,ThachSuon,NeevyPal",15,"[(5, 3, 7)]",14400000,,tt0087553,11.460364,141,"Here, only the silent survive."
3452,3,4,"['GB', 'US']",2,0,10,3,8,24,"[(3, 14, 7)]","CareyMulligan,AndrewGarfield,KeiraKnightley,DomhnallGleeson,AndreaRiseborough,CharlotteRampling,SallyHawkins,IzzyMeikleSmall,CharlieRowe,EllaPurnell,LydiaWilson,NathalieRichard,ChristinaCarrafiell,KateBowesRenna,HannahSharp,OliverParsons,DavidSterne,ChidiChickwe,MonicaDolan,AmyLennox,KateSissons,LukeBryant,FidelisMorgan,DamienThomas",33,"[(15, 4, 14)]",15000000,http://www.foxsearchlight.com/neverletmego/,tt1334260,8.278794,104,These students have everything they need. Except time.
3453,3,3,['US'],1,0,16,2,12,12,"[(8, 2, 2)]","BlakeLively,AngeloJosueLozanoCorzo,Jos,BrettCullen,SedonaLegge,PabloCalva,DiegoEspejel,JanelleBailey,AvaDean,ChelseaMoody,SullySeagull",62,"[(51, 4, 7)]",17000000,http://www.theshallows-movie.com,tt4052882,13.689175,86,What was once in the deep is now in the shallows.
